City,Insurer,Q1,Q2,Q5a,Q8_1
INDORE,Bagic,10,10.0,,
MUMBAI,Go Digit,10,10.0,,
PUNE,National Insurance,10,,,10.0
MUMBAI,ACKO,8,,9.0,10.0
AHMEDABAD,National Insurance,9,,,10.0
KANPUR,National Insurance,5,,,6.0
LUDHIANA,Go Digit,9,,,9.0
KANPUR,ICICI Lombard,10,,,9.0
PUNE,New India,10,10.0,9.0,
AHMEDABAD,National Insurance,9,10.0,10.0,
KANPUR,National Insurance,10,,,8.0
INDORE,ICICI Lombard,9,,,8.0
PUNE,Go Digit,10,,,9.0
KOLKATA,ICICI Lombard,8,,,9.0
AHMEDABAD,Bagic,4,5.0,,
KANPUR,ICICI Lombard,9,,,9.0
MUMBAI,HDFC Ergo,10,9.0,,
BANGALORE,Bagic,8,8.0,,
LUDHIANA,Bagic,9,,,10.0
CHENNAI,ICICI Lombard,9,,9.0,10.0
BANGALORE,ACKO,9,10.0,,
BANGALORE,New India,6,,,5.0
MUMBAI,Go Digit,9,,,10.0
MUMBAI,HDFC Ergo,9,9.0,,
LUDHIANA,New India,8,,,6.0
AHMEDABAD,Go Digit,7,,,10.0
BANGALORE,Go Digit,10,10.0,,
CHENNAI,New India,7,,,8.0
KANPUR,ACKO,7,5.0,7.0,
BANGALORE,ICICI Lombard,9,10.0,,
LUDHIANA,Bagic,9,,9.0,9.0
INDORE,ICICI Lombard,10,,10.0,9.0
MUMBAI,Go Digit,8,,8.0,9.0
MUMBAI,National Insurance,7,,,6.0
BANGALORE,Go Digit,8,,,9.0
HYDERABAD,HDFC Ergo,10,,,9.0
AHMEDABAD,New India,8,,,9.0
INDORE,HDFC Ergo,9,,,9.0
MUMBAI,HDFC Ergo,9,10.0,,
INDORE,National Insurance,8,,,9.0
HYDERABAD,Go Digit,5,4.0,,
KANPUR,New India,8,,,9.0
MUMBAI,New India,5,,,7.0
KANPUR,National Insurance,9,,,9.0
DELHI,New India,8,,,10.0
KOLKATA,HDFC Ergo,9,,,10.0
CHENNAI,Bagic,10,,8.0,8.0
INDORE,Tata AIG,8,9.0,,
CHENNAI,National Insurance,6,,8.0,7.0
JAIPUR,New India,10,,9.0,9.0
MUMBAI,National Insurance,10,10.0,,
KOLKATA,Tata AIG,9,,,10.0
LUDHIANA,Tata AIG,7,,3.0,8.0
INDORE,ACKO,10,,,9.0
BANGALORE,National Insurance,9,,8.0,9.0
LUDHIANA,HDFC Ergo,9,8.0,10.0,
INDORE,HDFC Ergo,6,,,8.0
KOLKATA,Go Digit,10,,,10.0
MUMBAI,Bagic,9,,9.0,9.0
DELHI,National Insurance,10,,9.0,10.0
JAIPUR,National Insurance,7,5.0,,
LUDHIANA,ICICI Lombard,10,8.0,10.0,
CHENNAI,Tata AIG,9,,,9.0
LUDHIANA,National Insurance,5,,4.0,8.0
BANGALORE,Tata AIG,10,,,9.0
PUNE,ACKO,9,,,8.0
HYDERABAD,Bagic,6,,,5.0
KOLKATA,ICICI Lombard,10,,,10.0
DELHI,HDFC Ergo,8,,9.0,9.0
MUMBAI,ICICI Lombard,9,10.0,,
INDORE,Bagic,9,10.0,9.0,
JAIPUR,ICICI Lombard,7,9.0,,
DELHI,ACKO,4,,,5.0
AHMEDABAD,New India,8,,,9.0
JAIPUR,HDFC Ergo,7,7.0,8.0,
DELHI,Tata AIG,10,,10.0,8.0
MUMBAI,National Insurance,9,,,9.0
KANPUR,Bagic,10,10.0,,
INDORE,Go Digit,8,,9.0,6.0
MUMBAI,Go Digit,9,,,9.0
LUDHIANA,ACKO,7,,7.0,8.0
JAIPUR,Bagic,10,,,10.0
KANPUR,Tata AIG,10,,,9.0
KANPUR,ICICI Lombard,6,,,6.0
INDORE,ICICI Lombard,9,10.0,,
LUDHIANA,Go Digit,9,,10.0,9.0
CHENNAI,ICICI Lombard,8,,10.0,9.0
DELHI,ACKO,9,10.0,10.0,
PUNE,Tata AIG,10,10.0,,
KANPUR,Bagic,10,,10.0,10.0
PUNE,Go Digit,10,,9.0,9.0
DELHI,ACKO,10,,,9.0
JAIPUR,National Insurance,10,10.0,,
KOLKATA,Bagic,10,,,9.0
MUMBAI,New India,8,,7.0,10.0
CHENNAI,Bagic,10,,,10.0
DELHI,ACKO,8,,,9.0
AHMEDABAD,Go Digit,8,,10.0,7.0
INDORE,Bagic,10,10.0,,
JAIPUR,Go Digit,10,,9.0,9.0
DELHI,Bagic,7,,,9.0
KOLKATA,Go Digit,10,,10.0,9.0
DELHI,Bagic,9,10.0,,
HYDERABAD,ICICI Lombard,9,10.0,8.0,
MUMBAI,HDFC Ergo,7,,,10.0
AHMEDABAD,New India,10,10.0,8.0,
LUDHIANA,Bagic,10,10.0,,
LUDHIANA,ACKO,8,,,10.0
KOLKATA,Bagic,9,,9.0,8.0
JAIPUR,Go Digit,4,,,7.0
DELHI,National Insurance,10,,,10.0
CHENNAI,Go Digit,9,8.0,,
DELHI,New India,5,,4.0,7.0
JAIPUR,ACKO,7,,,10.0
PUNE,Go Digit,5,,,7.0
AHMEDABAD,New India,5,,3.0,8.0
CHENNAI,Go Digit,9,8.0,,
DELHI,HDFC Ergo,10,,,9.0
INDORE,National Insurance,8,,,6.0
KANPUR,ICICI Lombard,7,,,10.0
MUMBAI,New India,7,,,8.0
KOLKATA,New India,7,,,10.0
CHENNAI,ICICI Lombard,9,,,9.0
HYDERABAD,Bagic,9,9.0,9.0,
INDORE,Bagic,10,,10.0,9.0
DELHI,Go Digit,8,,,8.0
AHMEDABAD,ICICI Lombard,10,,,10.0
BANGALORE,ACKO,9,,,7.0
HYDERABAD,HDFC Ergo,10,8.0,,
JAIPUR,ICICI Lombard,9,,,9.0
KANPUR,New India,5,,,4.0
JAIPUR,HDFC Ergo,10,,10.0,9.0
JAIPUR,ACKO,9,,7.0,9.0
AHMEDABAD,Tata AIG,9,,8.0,9.0
PUNE,Bagic,9,,,10.0
INDORE,HDFC Ergo,10,,9.0,9.0
LUDHIANA,Tata AIG,9,,,9.0
KOLKATA,New India,9,9.0,7.0,
DELHI,HDFC Ergo,9,,,8.0
CHENNAI,ACKO,7,,9.0,10.0
LUDHIANA,Go Digit,7,6.0,10.0,
MUMBAI,HDFC Ergo,10,,10.0,9.0
MUMBAI,HDFC Ergo,9,,,7.0
LUDHIANA,Go Digit,9,10.0,,
LUDHIANA,Tata AIG,10,10.0,8.0,
MUMBAI,HDFC Ergo,10,,10.0,10.0
BANGALORE,New India,7,,,10.0
JAIPUR,Go Digit,10,10.0,,
AHMEDABAD,HDFC Ergo,3,,,4.0
MUMBAI,Bagic,6,8.0,,
JAIPUR,ACKO,9,,,10.0
INDORE,Tata AIG,10,,,9.0
KOLKATA,Tata AIG,4,,6.0,4.0
HYDERABAD,ICICI Lombard,7,,,9.0
KANPUR,Bagic,9,9.0,,
JAIPUR,Go Digit,9,,,7.0
AHMEDABAD,Tata AIG,9,,,10.0
KANPUR,ACKO,10,,9.0,8.0
PUNE,HDFC Ergo,9,,,9.0
INDORE,Bagic,9,,,7.0
LUDHIANA,National Insurance,7,,,9.0
INDORE,National Insurance,9,,8.0,9.0
AHMEDABAD,Tata AIG,7,,9.0,6.0
